champion,winrate,role,matches
swain,54.36,bottom,14766
seraphine,54.03,bottom,13919
hecarim,53.32,jungle,274944
swain,53.23,middle,11965
urgot,53.15,top,88448
nocturne,53.05,middle,12611
zilean,52.99,middle,10091
annie,52.96,middle,37653
rumble,52.84,middle,18315
ivern,52.8,middle,35265
garen,52.76,middle,9744
heimerdinger,52.73,middle,9372
veigar,52.71,bottom,11406
fiddlesticks,52.62,jungle,74578
anivia,52.59,middle,81716
kassadin,52.57,middle,107307
karthus,52.5,jungle,7227
nocturne,52.47,top,17437
bard,52.46,support,91886
diana,52.42,middle,84363
skarner,52.3,jungle,47898
neeko,52.18,middle,27183
ahri,52.17,middle,94272
pantheon,52.16,middle,35374
elise,52.14,jungle,125048
wukong,52.13,top,61406
galio,52.12,middle,65887
shaco,52.06,jungle,120671
thresh,52.01,support,337238
maokai,52,support,38378
zilean,51.99,support,54501
darius,51.86,top,117397
maokai,51.79,top,13079
malphite,51.79,middle,12815
poppy,51.77,jungle,27715
garen,51.77,top,109059
brand,51.75,middle,8543
poppy,51.74,top,38604
sona,51.6,support,22938
katarina,51.57,middle,129974
kha'zix,51.53,jungle,155735
nunu & willump,51.48,jungle,72307
rek'sai,51.46,jungle,59547
warwick,51.42,top,15007
vayne,51.42,bottom,224939
cho'gath,51.42,top,72310
quinn,51.42,top,28750
aurelion sol,51.41,middle,13234
udyr,51.36,jungle,112350
riven,51.35,top,114585
singed,51.35,top,29698
tristana,51.35,bottom,211745
malphite,51.33,top,110767
gnar,51.3,top,224506
corki,51.29,middle,40400
morgana,51.25,middle,8800
jinx,51.22,bottom,233727
lulu,51.17,support,207964
taliyah,51.13,jungle,31661
tristana,51.09,middle,25507
galio,51.05,support,31424
fizz,51.01,middle,81701
ekko,51,middle,76619
renekton,50.94,middle,14198
nocturne,50.94,jungle,59664
blitzcrank,50.92,support,102060
talon,50.89,middle,93265
leona,50.87,support,153426
sion,50.86,top,69183
vladimir,50.85,middle,72062
pantheon,50.85,top,17120
viego,50.82,middle,46531
evelynn,50.81,jungle,73324
vel'koz,50.78,middle,32882
shen,50.73,top,83355
kog'maw,50.71,bottom,23988
nami,50.71,support,85850
nasus,50.66,top,57110
sett,50.66,middle,10958
heimerdinger,50.63,top,14826
malzahar,50.62,middle,47773
zed,50.61,middle,156757
wukong,50.58,jungle,8292
warwick,50.58,jungle,35897
janna,50.57,support,85182
taric,50.55,support,15181
kennen,50.54,top,29237
miss fortune,50.53,bottom,70842
jhin,50.53,bottom,259174
kai'sa,50.5,bottom,523907
karma,50.48,top,9101
draven,50.42,bottom,70732
rengar,50.31,top,21640
veigar,50.31,middle,40835
sivir,50.29,bottom,133770
twitch,50.27,bottom,62112
gragas,50.24,middle,8397
morgana,50.21,support,121351
lux,50.19,middle,45358
lissandra,50.14,middle,29644
alistar,50.12,support,175220